group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
blm05 sign,,,,,2144919.0,ns,1
blm05 sign,,,,,3772387.0,ns,2
blm05 sign,,,,,5342658.0,ns,3
blm05 sign,,,,,7255546.0,ns,4
blm05 sign,,,,,7134643.0,ns,5
blm05 sign,,,,,8788773.0,ns,6
blm05 sign,,,,,10037337.0,ns,7
blm05 sign,,,,,11659608.0,ns,8
blm05 sign,,,,,12446232.0,ns,9
blm05 sign,,,,,13650480.0,ns,10
blm05 sign,,,,,15010629.0,ns,11
blm05 sign,,,,,16374327.0,ns,12
blm05 sign,,,,,18446449.0,ns,13
blm05 sign,,,,,19287767.0,ns,14
blm05 sign,,,,,20490714.0,ns,15
blm05 sign,,,,,21812030.0,ns,16
blm05 sign,,,,,23177340.0,ns,17
blm05 sign,,,,,24537873.0,ns,18
blm05 sign,,,,,25123268.0,ns,19
blm05 sign,,,,,26188918.0,ns,20
blm05 sign,,,,,27475785.0,ns,21
blm05 sign,,,,,28807812.0,ns,22
blm05 sign,,,,,30179995.0,ns,23
blm05 sign,,,,,31503680.0,ns,24
blm05 sign,,,,,32784324.0,ns,25
blm05 sign,,,,,34154989.0,ns,26
blm05 sign,,,,,34501621.0,ns,27
blm05 sign,,,,,39148607.0,ns,28
blm05 sign,,,,,39442382.0,ns,29
blm05 sign,,,,,39917555.0,ns,30
blm05 sign,,,,,40905731.0,ns,31
blm05 sign,,,,,42292224.0,ns,32
blm05 sign,,,,,43650827.0,ns,33
blm05 sign,,,,,45113878.0,ns,34
blm05 sign,,,,,46593900.0,ns,35
blm05 sign,,,,,48000042.0,ns,36
blm05 sign,,,,,47392794.0,ns,37
blm05 sign,,,,,48416958.0,ns,38
blm05 sign,,,,,50187979.0,ns,39
blm05 sign,,,,,54348419.0,ns,40
blm05 sign,,,,,53177928.0,ns,41
blm05 sign,,,,,54750824.0,ns,42
blm05 sign,,,,,56064353.0,ns,43
blm05 sign,,,,,57588707.0,ns,44
blm05 sign,,,,,60615132.0,ns,45
blm05 sign,,,,,60012097.0,ns,46
blm05 sign,,,,,61111208.0,ns,47
blm05 sign,,,,,63999270.0,ns,48
blm05 sign,,,,,63238065.0,ns,49
blm05 sign,,,,,64712585.0,ns,50
blm05 sign,,,,,66863559.0,ns,51
blm05 sign,,,,,68989715.0,ns,52
blm05 sign,,,,,69725126.0,ns,53
blm05 sign,,,,,70636348.0,ns,54
blm05 sign,,,,,70248038.0,ns,55
blm05 sign,,,,,75028652.0,ns,56
blm05 sign,,,,,73494214.0,ns,57
blm05 sign,,,,,75421962.0,ns,58
blm05 sign,,,,,79210987.0,ns,59
blm05 sign,,,,,81296688.0,ns,60
blm05 sign,,,,,81797378.0,ns,61
blm05 sign,,,,,83541348.0,ns,62
blm05 sign,,,,,83050790.0,ns,63
blm05 sign,,,,,85236378.0,ns,64
blm05 sign,,,,,86669150.0,ns,65
blm05 sign,,,,,87900779.0,ns,66
blm05 sign,,,,,86674434.0,ns,67
blm05 sign,,,,,90714828.0,ns,68
blm05 sign,,,,,91162906.0,ns,69
blm05 sign,,,,,93077906.0,ns,70
blm05 sign,,,,,94584297.0,ns,71
blm05 sign,,,,,95969644.0,ns,72
blm05 sign,,,,,97186594.0,ns,73
blm05 sign,,,,,94668210.0,ns,74
blm05 sign,,,,,96164074.0,ns,75
blm05 sign,,,,,98031442.0,ns,76
blm05 sign,,,,,100786982.0,ns,77
blm05 sign,,,,,103432994.0,ns,78
blm05 sign,,,,,101590478.0,ns,79
blm05 sign,,,,,103786498.0,ns,80
blm05 sign,,,,,105103847.0,ns,81
blm05 sign,,,,,106452863.0,ns,82
blm05 sign,,,,,110206574.0,ns,83
blm05 sign,,,,,108805731.0,ns,84
blm05 sign,,,,,111652674.0,ns,85
blm05 sign,,,,,111105479.0,ns,86
blm05 sign,,,,,112602393.0,ns,87
blm05 sign,,,,,118208471.0,ns,88
blm05 sign,,,,,119439458.0,ns,89
blm05 sign,,,,,116204712.0,ns,90
blm05 sign,,,,,118210484.0,ns,91
blm05 sign,,,,,121800241.0,ns,92
blm05 sign,,,,,121053138.0,ns,93
blm05 sign,,,,,122687821.0,ns,94
blm05 sign,,,,,121423887.0,ns,95
blm05 sign,,,,,124507484.0,ns,96
blm05 sign,,,,,124761879.0,ns,97
blm05 sign,,,,,126149068.0,ns,98
blm05 sign,,,,,127883589.0,ns,99
blm05 sign,,,,,132393399.0,ns,100
