group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cui07 sign,,,,,2351756.0,ns,1
cui07 sign,,,,,4781274.0,ns,2
cui07 sign,,,,,7261154.0,ns,3
cui07 sign,,,,,9859589.0,ns,4
cui07 sign,,,,,12586927.0,ns,5
cui07 sign,,,,,14737486.0,ns,6
cui07 sign,,,,,16839349.0,ns,7
cui07 sign,,,,,17202523.0,ns,8
cui07 sign,,,,,16362990.0,ns,9
cui07 sign,,,,,17416627.0,ns,10
cui07 sign,,,,,19324394.0,ns,11
cui07 sign,,,,,21075155.0,ns,12
cui07 sign,,,,,22832291.0,ns,13
cui07 sign,,,,,24539463.0,ns,14
cui07 sign,,,,,25609449.0,ns,15
cui07 sign,,,,,27158125.0,ns,16
cui07 sign,,,,,29074270.0,ns,17
cui07 sign,,,,,31828405.0,ns,18
cui07 sign,,,,,32093418.0,ns,19
cui07 sign,,,,,33960369.0,ns,20
cui07 sign,,,,,35764811.0,ns,21
cui07 sign,,,,,37639852.0,ns,22
cui07 sign,,,,,39137921.0,ns,23
cui07 sign,,,,,43804927.0,ns,24
cui07 sign,,,,,42830010.0,ns,25
cui07 sign,,,,,45162663.0,ns,26
cui07 sign,,,,,47374839.0,ns,27
cui07 sign,,,,,48572507.0,ns,28
cui07 sign,,,,,49844281.0,ns,29
cui07 sign,,,,,53132736.0,ns,30
cui07 sign,,,,,52716275.0,ns,31
cui07 sign,,,,,54653323.0,ns,32
cui07 sign,,,,,56909374.0,ns,33
cui07 sign,,,,,58007757.0,ns,34
cui07 sign,,,,,59929967.0,ns,35
cui07 sign,,,,,62341042.0,ns,36
cui07 sign,,,,,63254822.0,ns,37
cui07 sign,,,,,64912334.0,ns,38
cui07 sign,,,,,67186766.0,ns,39
cui07 sign,,,,,68863907.0,ns,40
cui07 sign,,,,,70898853.0,ns,41
cui07 sign,,,,,72722902.0,ns,42
cui07 sign,,,,,73558312.0,ns,43
cui07 sign,,,,,75261339.0,ns,44
cui07 sign,,,,,77481880.0,ns,45
cui07 sign,,,,,80009209.0,ns,46
cui07 sign,,,,,81069482.0,ns,47
cui07 sign,,,,,82977671.0,ns,48
cui07 sign,,,,,84543930.0,ns,49
cui07 sign,,,,,86404552.0,ns,50
cui07 sign,,,,,88089883.0,ns,51
cui07 sign,,,,,89603521.0,ns,52
cui07 sign,,,,,92061754.0,ns,53
cui07 sign,,,,,92304865.0,ns,54
cui07 sign,,,,,94794504.0,ns,55
cui07 sign,,,,,96361068.0,ns,56
cui07 sign,,,,,99176898.0,ns,57
cui07 sign,,,,,99343121.0,ns,58
cui07 sign,,,,,100937085.0,ns,59
cui07 sign,,,,,103362578.0,ns,60
cui07 sign,,,,,104300519.0,ns,61
cui07 sign,,,,,106999048.0,ns,62
cui07 sign,,,,,108346380.0,ns,63
cui07 sign,,,,,108960036.0,ns,64
cui07 sign,,,,,111273084.0,ns,65
cui07 sign,,,,,114019474.0,ns,66
cui07 sign,,,,,116194437.0,ns,67
cui07 sign,,,,,116681205.0,ns,68
cui07 sign,,,,,118639320.0,ns,69
cui07 sign,,,,,120532703.0,ns,70
cui07 sign,,,,,122553816.0,ns,71
cui07 sign,,,,,123754454.0,ns,72
cui07 sign,,,,,125696747.0,ns,73
cui07 sign,,,,,126675873.0,ns,74
cui07 sign,,,,,129982645.0,ns,75
cui07 sign,,,,,130310834.0,ns,76
cui07 sign,,,,,132245429.0,ns,77
cui07 sign,,,,,134854752.0,ns,78
cui07 sign,,,,,134262300.0,ns,79
cui07 sign,,,,,136055456.0,ns,80
cui07 sign,,,,,138207308.0,ns,81
cui07 sign,,,,,141932771.0,ns,82
cui07 sign,,,,,143050121.0,ns,83
cui07 sign,,,,,146022206.0,ns,84
cui07 sign,,,,,149122352.0,ns,85
cui07 sign,,,,,149395499.0,ns,86
cui07 sign,,,,,149684517.0,ns,87
cui07 sign,,,,,151533797.0,ns,88
cui07 sign,,,,,154612808.0,ns,89
cui07 sign,,,,,155005360.0,ns,90
cui07 sign,,,,,156716789.0,ns,91
cui07 sign,,,,,157460407.0,ns,92
cui07 sign,,,,,157446219.0,ns,93
cui07 sign,,,,,161128889.0,ns,94
cui07 sign,,,,,164434490.0,ns,95
cui07 sign,,,,,164716797.0,ns,96
cui07 sign,,,,,166712586.0,ns,97
cui07 sign,,,,,170764859.0,ns,98
cui07 sign,,,,,171618457.0,ns,99
cui07 sign,,,,,173063633.0,ns,100
