group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cui07 verify,,,,,53682215.0,ns,17
cui07 verify,,,,,51834801.0,ns,17
cui07 verify,,,,,51741666.0,ns,17
cui07 verify,,,,,51276585.0,ns,17
cui07 verify,,,,,51324290.0,ns,17
cui07 verify,,,,,51832287.0,ns,17
cui07 verify,,,,,51619799.0,ns,17
cui07 verify,,,,,51545410.0,ns,17
cui07 verify,,,,,51388897.0,ns,17
cui07 verify,,,,,51502900.0,ns,17
cui07 verify,,,,,53987919.0,ns,17
cui07 verify,,,,,52672889.0,ns,17
cui07 verify,,,,,52812871.0,ns,17
cui07 verify,,,,,52338955.0,ns,17
cui07 verify,,,,,53619683.0,ns,17
cui07 verify,,,,,52776416.0,ns,17
cui07 verify,,,,,51655332.0,ns,17
cui07 verify,,,,,52329128.0,ns,17
cui07 verify,,,,,52233372.0,ns,17
cui07 verify,,,,,52410002.0,ns,17
cui07 verify,,,,,51679628.0,ns,17
cui07 verify,,,,,51806603.0,ns,17
cui07 verify,,,,,51721849.0,ns,17
cui07 verify,,,,,51950305.0,ns,17
cui07 verify,,,,,52989834.0,ns,17
cui07 verify,,,,,51819260.0,ns,17
cui07 verify,,,,,51677104.0,ns,17
cui07 verify,,,,,51665354.0,ns,17
cui07 verify,,,,,51334418.0,ns,17
cui07 verify,,,,,51448831.0,ns,17
cui07 verify,,,,,51549308.0,ns,17
cui07 verify,,,,,51703276.0,ns,17
cui07 verify,,,,,52052513.0,ns,17
cui07 verify,,,,,51202692.0,ns,17
cui07 verify,,,,,53029168.0,ns,17
cui07 verify,,,,,51724443.0,ns,17
cui07 verify,,,,,52067220.0,ns,17
cui07 verify,,,,,51854839.0,ns,17
cui07 verify,,,,,51762743.0,ns,17
cui07 verify,,,,,52153256.0,ns,17
cui07 verify,,,,,51829333.0,ns,17
cui07 verify,,,,,51950348.0,ns,17
cui07 verify,,,,,52557599.0,ns,17
cui07 verify,,,,,54256769.0,ns,17
cui07 verify,,,,,51669956.0,ns,17
cui07 verify,,,,,51638704.0,ns,17
cui07 verify,,,,,51781398.0,ns,17
cui07 verify,,,,,51833080.0,ns,17
cui07 verify,,,,,51817750.0,ns,17
cui07 verify,,,,,51709646.0,ns,17
cui07 verify,,,,,51945150.0,ns,17
cui07 verify,,,,,51858442.0,ns,17
cui07 verify,,,,,51233437.0,ns,17
cui07 verify,,,,,54152905.0,ns,17
cui07 verify,,,,,51417458.0,ns,17
cui07 verify,,,,,51715390.0,ns,17
cui07 verify,,,,,51735775.0,ns,17
cui07 verify,,,,,51717361.0,ns,17
cui07 verify,,,,,52126928.0,ns,17
cui07 verify,,,,,51966406.0,ns,17
cui07 verify,,,,,51757485.0,ns,17
cui07 verify,,,,,51756386.0,ns,17
cui07 verify,,,,,52200414.0,ns,17
cui07 verify,,,,,51493212.0,ns,17
cui07 verify,,,,,50767189.0,ns,17
cui07 verify,,,,,51024835.0,ns,17
cui07 verify,,,,,51157917.0,ns,17
cui07 verify,,,,,52308476.0,ns,17
cui07 verify,,,,,51279298.0,ns,17
cui07 verify,,,,,51170016.0,ns,17
cui07 verify,,,,,51235684.0,ns,17
cui07 verify,,,,,51381557.0,ns,17
cui07 verify,,,,,53701376.0,ns,17
cui07 verify,,,,,52016338.0,ns,17
cui07 verify,,,,,51510352.0,ns,17
cui07 verify,,,,,52952517.0,ns,17
cui07 verify,,,,,52005858.0,ns,17
cui07 verify,,,,,51579002.0,ns,17
cui07 verify,,,,,51823844.0,ns,17
cui07 verify,,,,,52003885.0,ns,17
cui07 verify,,,,,52047822.0,ns,17
cui07 verify,,,,,52136225.0,ns,17
cui07 verify,,,,,53566996.0,ns,17
cui07 verify,,,,,52181141.0,ns,17
cui07 verify,,,,,52457941.0,ns,17
cui07 verify,,,,,52062767.0,ns,17
cui07 verify,,,,,52058177.0,ns,17
cui07 verify,,,,,52275185.0,ns,17
cui07 verify,,,,,52239468.0,ns,17
cui07 verify,,,,,52155877.0,ns,17
cui07 verify,,,,,52574779.0,ns,17
cui07 verify,,,,,52836699.0,ns,17
cui07 verify,,,,,52133710.0,ns,17
cui07 verify,,,,,52221885.0,ns,17
cui07 verify,,,,,51786748.0,ns,17
cui07 verify,,,,,50543341.0,ns,17
cui07 verify,,,,,50803489.0,ns,17
cui07 verify,,,,,51117773.0,ns,17
cui07 verify,,,,,51114428.0,ns,17
cui07 verify,,,,,50851443.0,ns,17
