group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hess03 sign,,,,,53684920.0,ns,17
hess03 sign,,,,,52985125.0,ns,17
hess03 sign,,,,,53148992.0,ns,17
hess03 sign,,,,,52084895.0,ns,17
hess03 sign,,,,,51862873.0,ns,17
hess03 sign,,,,,51836525.0,ns,17
hess03 sign,,,,,51973668.0,ns,17
hess03 sign,,,,,52110999.0,ns,17
hess03 sign,,,,,52163236.0,ns,17
hess03 sign,,,,,51111321.0,ns,17
hess03 sign,,,,,53982025.0,ns,17
hess03 sign,,,,,52260993.0,ns,17
hess03 sign,,,,,53113296.0,ns,17
hess03 sign,,,,,53098151.0,ns,17
hess03 sign,,,,,52881089.0,ns,17
hess03 sign,,,,,54262630.0,ns,17
hess03 sign,,,,,52678325.0,ns,17
hess03 sign,,,,,51880043.0,ns,17
hess03 sign,,,,,53029989.0,ns,17
hess03 sign,,,,,53061015.0,ns,17
hess03 sign,,,,,51016859.0,ns,17
hess03 sign,,,,,51524874.0,ns,17
hess03 sign,,,,,51741253.0,ns,17
hess03 sign,,,,,51356816.0,ns,17
hess03 sign,,,,,51657965.0,ns,17
hess03 sign,,,,,52658781.0,ns,17
hess03 sign,,,,,51777456.0,ns,17
hess03 sign,,,,,52140810.0,ns,17
hess03 sign,,,,,52646512.0,ns,17
hess03 sign,,,,,52281826.0,ns,17
hess03 sign,,,,,51209092.0,ns,17
hess03 sign,,,,,50981193.0,ns,17
hess03 sign,,,,,51258839.0,ns,17
hess03 sign,,,,,51447940.0,ns,17
hess03 sign,,,,,52001386.0,ns,17
hess03 sign,,,,,53026678.0,ns,17
hess03 sign,,,,,52138512.0,ns,17
hess03 sign,,,,,52536540.0,ns,17
hess03 sign,,,,,51878398.0,ns,17
hess03 sign,,,,,51031786.0,ns,17
hess03 sign,,,,,51508840.0,ns,17
hess03 sign,,,,,51341798.0,ns,17
hess03 sign,,,,,51098228.0,ns,17
hess03 sign,,,,,51325733.0,ns,17
hess03 sign,,,,,52810548.0,ns,17
hess03 sign,,,,,52026729.0,ns,17
hess03 sign,,,,,52080392.0,ns,17
hess03 sign,,,,,52338117.0,ns,17
hess03 sign,,,,,52376385.0,ns,17
hess03 sign,,,,,51941594.0,ns,17
hess03 sign,,,,,50933443.0,ns,17
hess03 sign,,,,,51188227.0,ns,17
hess03 sign,,,,,51054511.0,ns,17
hess03 sign,,,,,51054900.0,ns,17
hess03 sign,,,,,53544940.0,ns,17
hess03 sign,,,,,51713815.0,ns,17
hess03 sign,,,,,52092271.0,ns,17
hess03 sign,,,,,52053431.0,ns,17
hess03 sign,,,,,52131628.0,ns,17
hess03 sign,,,,,52257405.0,ns,17
hess03 sign,,,,,52333319.0,ns,17
hess03 sign,,,,,52307488.0,ns,17
hess03 sign,,,,,52294345.0,ns,17
hess03 sign,,,,,52707925.0,ns,17
hess03 sign,,,,,53597618.0,ns,17
hess03 sign,,,,,52183619.0,ns,17
hess03 sign,,,,,52717093.0,ns,17
hess03 sign,,,,,52771211.0,ns,17
hess03 sign,,,,,52942936.0,ns,17
hess03 sign,,,,,53117179.0,ns,17
hess03 sign,,,,,51648057.0,ns,17
hess03 sign,,,,,51522224.0,ns,17
hess03 sign,,,,,51638150.0,ns,17
hess03 sign,,,,,52846366.0,ns,17
hess03 sign,,,,,52286526.0,ns,17
hess03 sign,,,,,52825612.0,ns,17
hess03 sign,,,,,53032825.0,ns,17
hess03 sign,,,,,53174631.0,ns,17
hess03 sign,,,,,53107290.0,ns,17
hess03 sign,,,,,52939665.0,ns,17
hess03 sign,,,,,52986636.0,ns,17
hess03 sign,,,,,54291118.0,ns,17
hess03 sign,,,,,51624318.0,ns,17
hess03 sign,,,,,53959807.0,ns,17
hess03 sign,,,,,52902260.0,ns,17
hess03 sign,,,,,52018441.0,ns,17
hess03 sign,,,,,51816167.0,ns,17
hess03 sign,,,,,51771968.0,ns,17
hess03 sign,,,,,52032724.0,ns,17
hess03 sign,,,,,52119110.0,ns,17
hess03 sign,,,,,52343827.0,ns,17
hess03 sign,,,,,50698895.0,ns,17
hess03 sign,,,,,54386787.0,ns,17
hess03 sign,,,,,51611885.0,ns,17
hess03 sign,,,,,52443020.0,ns,17
hess03 sign,,,,,53200399.0,ns,17
hess03 sign,,,,,52066292.0,ns,17
hess03 sign,,,,,52255692.0,ns,17
hess03 sign,,,,,51912223.0,ns,17
hess03 sign,,,,,52342164.0,ns,17
