group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hess03 verify,,,,,52290365.0,ns,20
hess03 verify,,,,,50622911.0,ns,20
hess03 verify,,,,,50855615.0,ns,20
hess03 verify,,,,,52780830.0,ns,20
hess03 verify,,,,,55382835.0,ns,20
hess03 verify,,,,,51963945.0,ns,20
hess03 verify,,,,,52963595.0,ns,20
hess03 verify,,,,,50918323.0,ns,20
hess03 verify,,,,,49929164.0,ns,20
hess03 verify,,,,,49958516.0,ns,20
hess03 verify,,,,,53113641.0,ns,20
hess03 verify,,,,,51436697.0,ns,20
hess03 verify,,,,,51694993.0,ns,20
hess03 verify,,,,,50966750.0,ns,20
hess03 verify,,,,,50754461.0,ns,20
hess03 verify,,,,,53046543.0,ns,20
hess03 verify,,,,,50516798.0,ns,20
hess03 verify,,,,,51732681.0,ns,20
hess03 verify,,,,,51958351.0,ns,20
hess03 verify,,,,,50783581.0,ns,20
hess03 verify,,,,,50728506.0,ns,20
hess03 verify,,,,,50699728.0,ns,20
hess03 verify,,,,,50710772.0,ns,20
hess03 verify,,,,,50651170.0,ns,20
hess03 verify,,,,,51074411.0,ns,20
hess03 verify,,,,,51813538.0,ns,20
hess03 verify,,,,,50629700.0,ns,20
hess03 verify,,,,,50580069.0,ns,20
hess03 verify,,,,,50558480.0,ns,20
hess03 verify,,,,,50558990.0,ns,20
hess03 verify,,,,,50876923.0,ns,20
hess03 verify,,,,,50530742.0,ns,20
hess03 verify,,,,,50452435.0,ns,20
hess03 verify,,,,,50621784.0,ns,20
hess03 verify,,,,,51478654.0,ns,20
hess03 verify,,,,,51317657.0,ns,20
hess03 verify,,,,,50591565.0,ns,20
hess03 verify,,,,,50824787.0,ns,20
hess03 verify,,,,,50562600.0,ns,20
hess03 verify,,,,,51064395.0,ns,20
hess03 verify,,,,,50607773.0,ns,20
hess03 verify,,,,,50880562.0,ns,20
hess03 verify,,,,,49589891.0,ns,20
hess03 verify,,,,,49786679.0,ns,20
hess03 verify,,,,,52029247.0,ns,20
hess03 verify,,,,,51210663.0,ns,20
hess03 verify,,,,,50320103.0,ns,20
hess03 verify,,,,,50680615.0,ns,20
hess03 verify,,,,,50668073.0,ns,20
hess03 verify,,,,,50701017.0,ns,20
hess03 verify,,,,,50557560.0,ns,20
hess03 verify,,,,,49481485.0,ns,20
hess03 verify,,,,,49552102.0,ns,20
hess03 verify,,,,,50148646.0,ns,20
hess03 verify,,,,,49752452.0,ns,20
hess03 verify,,,,,49852500.0,ns,20
hess03 verify,,,,,49860090.0,ns,20
hess03 verify,,,,,49846605.0,ns,20
hess03 verify,,,,,49820832.0,ns,20
hess03 verify,,,,,49710150.0,ns,20
hess03 verify,,,,,49704294.0,ns,20
hess03 verify,,,,,49521344.0,ns,20
hess03 verify,,,,,49642032.0,ns,20
hess03 verify,,,,,49723204.0,ns,20
hess03 verify,,,,,51923953.0,ns,20
hess03 verify,,,,,51239538.0,ns,20
hess03 verify,,,,,50318152.0,ns,20
hess03 verify,,,,,50626892.0,ns,20
hess03 verify,,,,,50498055.0,ns,20
hess03 verify,,,,,50667237.0,ns,20
hess03 verify,,,,,50725836.0,ns,20
hess03 verify,,,,,50399367.0,ns,20
hess03 verify,,,,,49662725.0,ns,20
hess03 verify,,,,,49568713.0,ns,20
hess03 verify,,,,,52183159.0,ns,20
hess03 verify,,,,,50509900.0,ns,20
hess03 verify,,,,,50208955.0,ns,20
hess03 verify,,,,,50641080.0,ns,20
hess03 verify,,,,,49931953.0,ns,20
hess03 verify,,,,,49533822.0,ns,20
hess03 verify,,,,,49574318.0,ns,20
hess03 verify,,,,,49423395.0,ns,20
hess03 verify,,,,,49562357.0,ns,20
hess03 verify,,,,,49807203.0,ns,20
hess03 verify,,,,,52301528.0,ns,20
hess03 verify,,,,,49711965.0,ns,20
hess03 verify,,,,,50749039.0,ns,20
hess03 verify,,,,,50554543.0,ns,20
hess03 verify,,,,,50140281.0,ns,20
hess03 verify,,,,,50067857.0,ns,20
hess03 verify,,,,,50390732.0,ns,20
hess03 verify,,,,,50454112.0,ns,20
hess03 verify,,,,,50981920.0,ns,20
hess03 verify,,,,,50089524.0,ns,20
hess03 verify,,,,,51317581.0,ns,20
hess03 verify,,,,,50554721.0,ns,20
hess03 verify,,,,,50972794.0,ns,20
hess03 verify,,,,,51210478.0,ns,20
hess03 verify,,,,,51266589.0,ns,20
hess03 verify,,,,,51443058.0,ns,20
