group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pat02 method 2 verify,,,,,53665189.0,ns,10
pat02 method 2 verify,,,,,52367080.0,ns,10
pat02 method 2 verify,,,,,52373067.0,ns,10
pat02 method 2 verify,,,,,51802435.0,ns,10
pat02 method 2 verify,,,,,51356825.0,ns,10
pat02 method 2 verify,,,,,51182179.0,ns,10
pat02 method 2 verify,,,,,51069938.0,ns,10
pat02 method 2 verify,,,,,53035469.0,ns,10
pat02 method 2 verify,,,,,51203963.0,ns,10
pat02 method 2 verify,,,,,51148619.0,ns,10
pat02 method 2 verify,,,,,53207057.0,ns,10
pat02 method 2 verify,,,,,51965320.0,ns,10
pat02 method 2 verify,,,,,52239366.0,ns,10
pat02 method 2 verify,,,,,51629689.0,ns,10
pat02 method 2 verify,,,,,51521437.0,ns,10
pat02 method 2 verify,,,,,51247274.0,ns,10
pat02 method 2 verify,,,,,51656625.0,ns,10
pat02 method 2 verify,,,,,53870548.0,ns,10
pat02 method 2 verify,,,,,50611606.0,ns,10
pat02 method 2 verify,,,,,52527031.0,ns,10
pat02 method 2 verify,,,,,52413044.0,ns,10
pat02 method 2 verify,,,,,51193616.0,ns,10
pat02 method 2 verify,,,,,51199737.0,ns,10
pat02 method 2 verify,,,,,51155342.0,ns,10
pat02 method 2 verify,,,,,50971179.0,ns,10
pat02 method 2 verify,,,,,51339340.0,ns,10
pat02 method 2 verify,,,,,53328846.0,ns,10
pat02 method 2 verify,,,,,52649099.0,ns,10
pat02 method 2 verify,,,,,51567348.0,ns,10
pat02 method 2 verify,,,,,52102642.0,ns,10
pat02 method 2 verify,,,,,51433110.0,ns,10
pat02 method 2 verify,,,,,51333411.0,ns,10
pat02 method 2 verify,,,,,51202075.0,ns,10
pat02 method 2 verify,,,,,51102588.0,ns,10
pat02 method 2 verify,,,,,51001302.0,ns,10
pat02 method 2 verify,,,,,51170652.0,ns,10
pat02 method 2 verify,,,,,53944350.0,ns,10
pat02 method 2 verify,,,,,51698130.0,ns,10
pat02 method 2 verify,,,,,52072891.0,ns,10
pat02 method 2 verify,,,,,52181474.0,ns,10
pat02 method 2 verify,,,,,51437680.0,ns,10
pat02 method 2 verify,,,,,51925614.0,ns,10
pat02 method 2 verify,,,,,51864002.0,ns,10
pat02 method 2 verify,,,,,52207357.0,ns,10
pat02 method 2 verify,,,,,51662997.0,ns,10
pat02 method 2 verify,,,,,52007579.0,ns,10
pat02 method 2 verify,,,,,52026341.0,ns,10
pat02 method 2 verify,,,,,52076773.0,ns,10
pat02 method 2 verify,,,,,51706153.0,ns,10
pat02 method 2 verify,,,,,50950633.0,ns,10
pat02 method 2 verify,,,,,51061624.0,ns,10
pat02 method 2 verify,,,,,51167595.0,ns,10
pat02 method 2 verify,,,,,50802083.0,ns,10
pat02 method 2 verify,,,,,50829031.0,ns,10
pat02 method 2 verify,,,,,50948619.0,ns,10
pat02 method 2 verify,,,,,53115528.0,ns,10
pat02 method 2 verify,,,,,52854037.0,ns,10
pat02 method 2 verify,,,,,51531447.0,ns,10
pat02 method 2 verify,,,,,52375109.0,ns,10
pat02 method 2 verify,,,,,51301538.0,ns,10
pat02 method 2 verify,,,,,50747752.0,ns,10
pat02 method 2 verify,,,,,51216858.0,ns,10
pat02 method 2 verify,,,,,50714262.0,ns,10
pat02 method 2 verify,,,,,51389227.0,ns,10
pat02 method 2 verify,,,,,51009471.0,ns,10
pat02 method 2 verify,,,,,54128271.0,ns,10
pat02 method 2 verify,,,,,51875961.0,ns,10
pat02 method 2 verify,,,,,52054060.0,ns,10
pat02 method 2 verify,,,,,52093796.0,ns,10
pat02 method 2 verify,,,,,50849130.0,ns,10
pat02 method 2 verify,,,,,50657780.0,ns,10
pat02 method 2 verify,,,,,50867038.0,ns,10
pat02 method 2 verify,,,,,50732575.0,ns,10
pat02 method 2 verify,,,,,50651554.0,ns,10
pat02 method 2 verify,,,,,51279782.0,ns,10
pat02 method 2 verify,,,,,52192315.0,ns,10
pat02 method 2 verify,,,,,50613331.0,ns,10
pat02 method 2 verify,,,,,51209653.0,ns,10
pat02 method 2 verify,,,,,51568025.0,ns,10
pat02 method 2 verify,,,,,52362867.0,ns,10
pat02 method 2 verify,,,,,51116022.0,ns,10
pat02 method 2 verify,,,,,51061614.0,ns,10
pat02 method 2 verify,,,,,51350260.0,ns,10
pat02 method 2 verify,,,,,51054240.0,ns,10
pat02 method 2 verify,,,,,53052057.0,ns,10
pat02 method 2 verify,,,,,52511607.0,ns,10
pat02 method 2 verify,,,,,51313141.0,ns,10
pat02 method 2 verify,,,,,52298308.0,ns,10
pat02 method 2 verify,,,,,51645185.0,ns,10
pat02 method 2 verify,,,,,50907091.0,ns,10
pat02 method 2 verify,,,,,50985735.0,ns,10
pat02 method 2 verify,,,,,51254054.0,ns,10
pat02 method 2 verify,,,,,51199929.0,ns,10
pat02 method 2 verify,,,,,51811531.0,ns,10
pat02 method 2 verify,,,,,51437917.0,ns,10
pat02 method 2 verify,,,,,51275066.0,ns,10
pat02 method 2 verify,,,,,51339854.0,ns,10
pat02 method 2 verify,,,,,51525233.0,ns,10
pat02 method 2 verify,,,,,51421407.0,ns,10
pat02 method 2 verify,,,,,51270983.0,ns,10
