group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pat02 sign,,,,,1399539.0,ns,1
pat02 sign,,,,,2797231.0,ns,2
pat02 sign,,,,,4868392.0,ns,3
pat02 sign,,,,,5549819.0,ns,4
pat02 sign,,,,,6962760.0,ns,5
pat02 sign,,,,,9061205.0,ns,6
pat02 sign,,,,,11081029.0,ns,7
pat02 sign,,,,,11325068.0,ns,8
pat02 sign,,,,,12854191.0,ns,9
pat02 sign,,,,,14336852.0,ns,10
pat02 sign,,,,,17870892.0,ns,11
pat02 sign,,,,,18287978.0,ns,12
pat02 sign,,,,,18652276.0,ns,13
pat02 sign,,,,,20036453.0,ns,14
pat02 sign,,,,,21552433.0,ns,15
pat02 sign,,,,,22874865.0,ns,16
pat02 sign,,,,,24387334.0,ns,17
pat02 sign,,,,,25739141.0,ns,18
pat02 sign,,,,,26494107.0,ns,19
pat02 sign,,,,,27479107.0,ns,20
pat02 sign,,,,,28969908.0,ns,21
pat02 sign,,,,,31572313.0,ns,22
pat02 sign,,,,,31943418.0,ns,23
pat02 sign,,,,,32931792.0,ns,24
pat02 sign,,,,,34607650.0,ns,25
pat02 sign,,,,,35892768.0,ns,26
pat02 sign,,,,,37789520.0,ns,27
pat02 sign,,,,,40379297.0,ns,28
pat02 sign,,,,,40330354.0,ns,29
pat02 sign,,,,,42106691.0,ns,30
pat02 sign,,,,,43490554.0,ns,31
pat02 sign,,,,,44971805.0,ns,32
pat02 sign,,,,,45721042.0,ns,33
pat02 sign,,,,,46835957.0,ns,34
pat02 sign,,,,,50946926.0,ns,35
pat02 sign,,,,,49737690.0,ns,36
pat02 sign,,,,,51517006.0,ns,37
pat02 sign,,,,,53378831.0,ns,38
pat02 sign,,,,,54043215.0,ns,39
pat02 sign,,,,,56008592.0,ns,40
pat02 sign,,,,,57562005.0,ns,41
pat02 sign,,,,,59014526.0,ns,42
pat02 sign,,,,,59486052.0,ns,43
pat02 sign,,,,,62391361.0,ns,44
pat02 sign,,,,,61772964.0,ns,45
pat02 sign,,,,,63398007.0,ns,46
pat02 sign,,,,,65210839.0,ns,47
pat02 sign,,,,,66776892.0,ns,48
pat02 sign,,,,,68109186.0,ns,49
pat02 sign,,,,,69532964.0,ns,50
pat02 sign,,,,,71527559.0,ns,51
pat02 sign,,,,,73336389.0,ns,52
pat02 sign,,,,,74258116.0,ns,53
pat02 sign,,,,,75741808.0,ns,54
pat02 sign,,,,,77211173.0,ns,55
pat02 sign,,,,,78935934.0,ns,56
pat02 sign,,,,,79143502.0,ns,57
pat02 sign,,,,,82889904.0,ns,58
pat02 sign,,,,,81624424.0,ns,59
pat02 sign,,,,,83692502.0,ns,60
pat02 sign,,,,,83934703.0,ns,61
pat02 sign,,,,,85243827.0,ns,62
pat02 sign,,,,,86413048.0,ns,63
pat02 sign,,,,,88323198.0,ns,64
pat02 sign,,,,,89573477.0,ns,65
pat02 sign,,,,,91276358.0,ns,66
pat02 sign,,,,,91917924.0,ns,67
pat02 sign,,,,,93070169.0,ns,68
pat02 sign,,,,,97572877.0,ns,69
pat02 sign,,,,,97308147.0,ns,70
pat02 sign,,,,,100283627.0,ns,71
pat02 sign,,,,,100630013.0,ns,72
pat02 sign,,,,,100063924.0,ns,73
pat02 sign,,,,,101793833.0,ns,74
pat02 sign,,,,,103834942.0,ns,75
pat02 sign,,,,,105110429.0,ns,76
pat02 sign,,,,,106462211.0,ns,77
pat02 sign,,,,,107948800.0,ns,78
pat02 sign,,,,,112487365.0,ns,79
pat02 sign,,,,,111585165.0,ns,80
pat02 sign,,,,,113965084.0,ns,81
pat02 sign,,,,,112743929.0,ns,82
pat02 sign,,,,,114523043.0,ns,83
pat02 sign,,,,,115983315.0,ns,84
pat02 sign,,,,,118621654.0,ns,85
pat02 sign,,,,,120906286.0,ns,86
pat02 sign,,,,,122163689.0,ns,87
pat02 sign,,,,,124001123.0,ns,88
pat02 sign,,,,,124043783.0,ns,89
pat02 sign,,,,,123198671.0,ns,90
pat02 sign,,,,,125803412.0,ns,91
pat02 sign,,,,,129697182.0,ns,92
pat02 sign,,,,,129535758.0,ns,93
pat02 sign,,,,,131597332.0,ns,94
pat02 sign,,,,,132987810.0,ns,95
pat02 sign,,,,,133647031.0,ns,96
pat02 sign,,,,,133272866.0,ns,97
pat02 sign,,,,,134603804.0,ns,98
pat02 sign,,,,,139068092.0,ns,99
pat02 sign,,,,,138950839.0,ns,100
